"Site"	"Basin"	"Season"	"System"	"Turbidity"	"AbDrug"	"Pharm"	"Fung"	"Herb"	"Horm"	"Insec"	"Lifestyle"	"Emer Conc"	"Pest Conc"	"Temp"	"Salinity"	"pH"	"OD"	"SST"	"SOM"	"PT"	"NT"	"NH4"	"Chla"	"amplicon_code"	"sample_old"	"sample_esp"
"R_LA_AUT_05"	"Rocha"	"Autumn"	"Lagoon"	"6.3"	0	0.545953573	0.007693506	0.378467585	0	0.113721975	0	0.545953573	0.099976613	14.54	15.4	8.33	6.92	10	3	111.94	821.52	5	1.63	"1_S1"	"R_LA_AUT_05"	"RE1705-05"
"R_ST_WIN_02"	"Rocha"	"Winter"	"Stream"	"45.5"	0	0.310874464	0	0.258267952	1.297753755	0.102366382	0.145922535	0.438637689	0.120211445	14.4	0.12	7.17	9.25	NA	NA	140	510	7.78	9.87	"13_S13"	"R_ST_WIN_02"	"RA1708-02"
"R_ST_WIN_03"	"Rocha"	"Winter"	"Stream"	"49.9"	0	0	0	0.028485912	0	0.203696771	0.186811188	0.093405594	0.060155447	14.5	0.15	7.05	7.14	NA	NA	340	820	7.78	2.96	"14_S14"	"R_ST_WIN_03"	"RA1708-03"
"R_ST_WIN_04"	"Rocha"	"Winter"	"Stream"	"74.4"	0	0	0	0.023547955	0	0.050551444	0	NA	0.036759278	15	0.15	7.09	8.83	NA	NA	350	940	23.34	7.28	"15_S15"	"R_ST_WIN_04"	"RA1708-04"
"R_LA_WIN_05"	"Rocha"	"Winter"	"Lagoon"	"86.2"	0	0.421341992	0.007686833	0	0	0.137235414	1.321081246	0.580807746	0.048307416	14.54	0.1	7.43	7.85	62.11	15.79	143.69	1279.1	22.22	4.63	"16_S16"	"R_LA_WIN_05"	"RE1708-05"
"R_LA_WIN_06"	"Rocha"	"Winter"	"Lagoon"	"125"	0	0.074413201	0.296415752	0.886243632	0	0.140859137	0.402274189	0.158895797	0.33087963	13.26	8.4	6.64	9.16	145	16.67	128.83	870.71	139.79	5.09	"17_S17"	"R_LA_WIN_06"	"RE1708-06"
"R_LA_WIN_07"	"Rocha"	"Winter"	"Lagoon"	"40.8"	0	1.329347812	0.053263704	0.025998023	0	0.054677023	0.141090356	0.735219084	0.033484687	13.42	8.5	7.3	9.57	50	4	99.46	877.31	33.03	3.13	"18_S18"	"R_LA_WIN_07"	"RE1708-07"
"R_LA_AUT_07"	"Rocha"	"Autumn"	"Lagoon"	"5.3"	0	0.093191966	0	0.530838524	0	0.052268718	0.086194082	0.089693024	0.194369081	13.42	17.4	8.16	6.82	8.2	2	99.34	722.78	5	1.02	"2_S2"	"R_LA_AUT_07"	"RE1705-07"
"R_ST_WIN_10"	"Rocha"	"Winter"	"Stream"	"58.6"	0	0.063070008	0.04079519	0.025817314	0	0.049979019	0.215756839	0.139413423	0.038863841	16.2	NA	7.12	6.71	106.78	40.68	233.08	1701.73	134.6	2.04	"21_S21"	"R_ST_WIN_10"	"RA1708-10"
"R_ST_SPR_01"	"Rocha"	"Spring"	"Stream"	"44.1"	0	0	0	0	0	0.05781812	0.064983381	0.064983381	0.05781812	19.8	0.12	7.4	7.9	NA	NA	110	930	8	2.54	"34_S33"	"R_ST_SPR_01"	"RA1711-01"
"R_ST_SPR_02"	"Rocha"	"Spring"	"Stream"	"31.5"	0	0.030844892	0.000640477	0.258091884	2.062658678	0.437359769	0	0.544104675	0.139218426	19.8	0.13	7.2	6.2	NA	NA	190	850	179	9.87	"35_S34"	"R_ST_SPR_02"	"RA1711-02"
"R_ST_SPR_03"	"Rocha"	"Spring"	"Stream"	"32.6"	0	0	0.037343558	0.817137415	0.110585349	0.104050557	0.208347669	0.106311006	0.136933076	18.8	0.13	7.1	5.12	NA	NA	410	1050	16	4.93	"36_S35"	"R_ST_SPR_03"	"RA1711-03"
"R_LA_SPR_05"	"Rocha"	"Spring"	"Lagoon"	"9.2"	0	0.210607878	0	0.026881076	0	0.050973524	0.119024742	0.16481631	0.044035547	23.85	7.1	8.25	9.02	12.12	5.45	46.2	285.97	5	4.79	"37_S36"	"R_LA_SPR_05"	"RE1711-05"
"R_LA_SPR_06"	"Rocha"	"Spring"	"Lagoon"	"46.5"	0	0	0	0.023662474	0	0.018716209	0.281498473	0.140749237	0.021189341	19.9	14	7.31	8.57	52.22	3.33	87.13	258.89	92.2	2.07	"38_S37"	"R_LA_SPR_06"	"RE1711-06"
"R_LA_SPR_07"	"Rocha"	"Spring"	"Lagoon"	"0"	0	0.205270202	0	0.023399291	0	0.048208289	0.180712883	0.192991542	0.03580379	20.33	14.3	7.63	7.45	9.71	1.71	45.85	177.65	5	2.25	"39_S38"	"R_LA_SPR_07"	"RE1711-07"
"R_ST_SPR_10"	"Rocha"	"Spring"	"Stream"	"29.8"	0	0.063023901	0.038200647	0.394103079	0	0.05088276	1.962992336	0.675338746	0.120796621	21.4	0.23	7.3	5.38	22.31	4.23	210.62	480.26	15.33	4.75	"42_S41"	"R_ST_SPR_10"	"RA1711-10"
"R_ST_SUM_01"	"Rocha"	"Summer"	"Stream"	"23.3"	0	0.120301058	0.081294706	0.701370305	0	0.059301525	1.16735117	0.429217409	0.158451386	21.31	0.1	6.92	8.44	9.33	5.33	41.89	354.47	262.49	0	"61_S56"	"R_ST_SUM_01"	"RA1702-01"
"R_ST_SUM_02"	"Rocha"	"Summer"	"Stream"	"33.2"	0	0.199470849	0.08316967	0.033375015	0.398935779	0.100747022	0.181296135	0.162623564	0.072430569	21.96	0.1	6.98	8.28	8	5.33	94.15	861.25	74.59	3.4	"62_S57"	"R_ST_SUM_02"	"RA1702-02"
"R_ST_SUM_03"	"Rocha"	"Summer"	"Stream"	"26.9"	0	0.047033985	0.036515251	0.028488805	0	0.252613018	0.09296969	0.070001837	0.059157633	23.65	0.1	7.33	5.21	3	4	237.22	569.21	32.16	1.02	"63_S58"	"R_ST_SUM_03"	"RA1702-03"
"R_ST_SUM_04"	"Rocha"	"Summer"	"Stream"	"39.4"	0	0.044266875	0.037067174	0.412970707	0	0.048665449	0.124548193	0.084407534	0.124675833	23.76	0.1	7.15	8.27	18.46	12.31	478.51	1430.46	102.88	16.98	"64_S59"	"R_ST_SUM_04"	"RA1702-04"
"R_LA_SUM_05"	"Rocha"	"Summer"	"Lagoon"	"132"	0	0.906459741	0.363293412	1.126273782	0	0	0	0.906459741	0.297913439	23.9	18.3	7.96	7.22	205.71	42.86	166.8	932.75	43.61	12.22	"65_S60"	"R_LA_SUM_05"	"RE1702-05"
"R_LA_SUM_06"	"Rocha"	"Summer"	"Lagoon"	"52.8"	0	0.123755548	0.048371197	0.69337978	0	0.399610332	0	0.123755548	0.285340327	20.2	19.1	7.8	7.12	67.06	14.12	106.01	731.53	64.49	4.07	"66_S61"	"R_LA_SUM_06"	"RE1702-06"
"R_LA_SUM_07"	"Rocha"	"Summer"	"Lagoon"	"85.4"	0	0.229507569	0.008051477	0.533563707	0	0.089905687	0.123153028	0.117553532	0.126304174	20.9	18.3	7.89	7.79	107.14	14.29	111.94	702.79	137.22	6.79	"70-RE170207_S70"	"R_LA_SUM_07"	"RE1702-07"
"R_ST_AUT_04"	"Rocha"	"Autumn"	"Stream"	"10.1"	0	0	0.041126598	0.356591501	0	0.050141615	0	NA	0.089571943	15	8.56	6.81	4.72	NA	NA	110	0	93.36	5.39	"76-RA170504_S76"	"R_ST_AUT_04"	"RA1705-04"
"R_ST_AUT_03"	"Rocha"	"Autumn"	"Stream"	"6.1"	0	0	0	0.029205331	0.119396922	0.024761045	0.075630757	0.097513839	0.022204634	14.5	7.66	7.57	7.66	NA	NA	510	0	20	5.05	"77-RA170503_S77"	"R_ST_AUT_03"	"RA1705-03"
"R_ST_AUT_02"	"Rocha"	"Autumn"	"Stream"	"5.59"	0	0.309009901	0	0.026082861	2.416886935	0.10257156	0	0.689744892	0.06432721	14.4	0.34	7.5	6.44	NA	NA	20	0	20	3.9	"78-RA170502_S78"	"R_ST_AUT_02"	"RA1705-02"
"R_ST_AUT_01"	"Rocha"	"Autumn"	"Stream"	"8.09"	0	0	0	0	0	0.050524716	0.140912649	0.140912649	0.054536251	14.8	0.18	7.45	6.34	NA	NA	100	0	140.04	1	"79-RA170501_S79"	"R_ST_AUT_01"	"RA1705-01"
"R_LA_AUT_06"	"Rocha"	"Autumn"	"Lagoon"	"26.3"	0	0.074199233	0.036654079	0.34123498	0	0.022770054	0.264547685	0.169373459	0.100164778	13.26	17.2	8.16	7.54	30.73	5.85	138.26	1155.21	38.9	3.26	"84_S75"	"R_LA_AUT_06"	"RE1705-06"
"R_ST_WIN_01"	"Rocha"	"Winter"	"Stream"	"37.7"	0	0	0	0	0	0.091070076	0	NA	0.042364435	14.8	0.12	7.52	10.34	NA	NA	90	290	7.78	2.54	"85-RA170801_S85"	"R_ST_WIN_01"	"RA1708-01"
"R_ST_SPR_04"	"Rocha"	"Spring"	"Stream"	"58.7"	0	0	0.039979158	0.068903366	0	0.048173208	0	NA	0.039263933	21.6	0.19	7.4	7	NA	NA	230	1150	39	7.28	"87-RA171104_S87"	"R_ST_SPR_04"	"RA1711-04"
